<faith-2>,geen godsdienst
<occupation-9>,lid Eerste Kamer der Staten-Generaal
<occupation-8-begin>,1948-04-14
<occupation-6-end>,1946-09-02
<faith-1>,Nederlands Hervormd (opgevoed)
<residence-2>,Rotterdam, Gordelweg 147a
<death-place>,Rotterdam
<occupation-5>,lid Tweede Kamer der Staten-Generaal
<marriage-place>,Rotterdam
<occupation-7-end>,1949-09-06
<residence-2-end>,1955-03-01
<occupation-2-begin>,1914
<occupation-3>,lid gemeenteraad van Rotterdam
<occupation-2-end>,1936-01
<occupation-1>,havenarbeider te Rotterdam
<occupation-7>,lid gemeenteraad van Rotterdam
<occupation-7-begin>,1946-09-02
<occupation-3-begin>,1917-09-04
<name>,aren kievit|aren kievit|a. kievit
<gender>,1
<birth-place>,Oude Tonge (Z.H.)
<occupation-1-begin>,1898
<death-time>,1955-03-01
<birth-time>,1882-01-25
<occupation-5-begin>,1937-06-08
<occupation-4>,voorzitter CBT (Centrale Bond van Werknemers in het Transportbedrijf)
<occupation-9-begin>,1949-03-30
<occupation-9-end>,1951-09-18
<occupation-3-end>,1941-09-01
<occupation-4-begin>,1936-01
<residence-1>,Rotterdam
<occupation-8>,lid Eerste Kamer der Staten-Generaal
<occupation-2>,lid hoofdbestuur CBT (Centrale Bond van Werknemers in het Transportbedrijf)
<occupation-5-end>,1946-06-04
<occupation-8-end>,1948-07-27
<occupation-6>,lid tijdelijke gemeenteraad van Rotterdam
<occupation-6-begin>,1945-11-09
<marriage-time>,1910-07-27
<occupation-4-end>,1947
