<birth-place>,Waverveen (Holland)
<occupation-2>,lid Provinciale Staten van Holland voor de landelijke stand (Broek op Langedijk)
<occupation-2-begin>,1819-06-01
<occupation-3>,lid Tweede Kamer der Staten-Generaal voor Holland
<occupation-2-end>,1823-10-21
<name>,j.i.h. van wickevoort crommelin|jan iman hendrik van wickevoort crommelin|j.i.h. van wickevoort crommelin
<death-time>,1841-12-04
<birth-time>,1775-06-27
<faith-1>,Gereformeerd (Ned. Hervormd)
<occupation-4>,lid Eerste Kamer der Staten-Generaal
<death-place>,Utrecht
<occupation-3-begin>,1823-10-21
<marriage-time>,1799-03-12
<marriage-place>,Rotterdam
<occupation-1>,landeigenaar
<occupation-3-end>,1840-10-19
<occupation-4-begin>,1840-10-20
<residence-1>,Hoorn
<occupation-4-end>,1841-12-04
<gender>,1
