<occupation-9>,algemeen hoofd onderwijs KMA (Koninklijke Militaire Academie) te Breda
<residence-6>,Den Helder
<occupation-8-begin>,1946
<occupation-6-end>,1941
<occupation-10>,lid Tweede Kamer der Staten-Generaal
<faith-1>,Rooms-Katholiek
<residence-4>,Den Helder, Loodsgracht 47
<residence-2>,Den Helder,
<residence-5>,Utrecht, Dantelaan 53
<death-place>,Breda
<residence-6-end>,1939-08
<occupation-5>,officier bij de kustartillerie te Den Helder
<residence-9-begin>,1966-09-26
<marriage-place>,Den Helder
<occupation-7-end>,1945
<residence-2-end>,1930-11
<occupation-2-begin>,1928-08-14
<occupation-3>,adjunct van de Gouverneur van Curaçao
<residence-10-end>,1968-11-30
<occupation-2-end>,1930-12
<occupation-1>,tweede luitenant der artillerie
<residence-8>,Breda, Boeimeersingel 16
<occupation-11-begin>,1961-12-18
<occupation-1-end>,1928
<residence-8-end>,1966-09
<occupation-7>,krijgsgevangene
<occupation-7-begin>,1942
<residence-7>,Voorburg
<residence-5-begin>,1937-08-21
<occupation-3-begin>,1931-01
<name>,j.j. fens|johannes josephus fens
<residence-10-begin>,1967-10-02
<occupation-3-end>,1936-06
<occupation-10-begin>,1949-07-23
<education-2>,h.b.s.-b
<gender>,1
<birth-place>,Breda
<residence-3>,Curaçao
<marriage-time>,1927-11-03
<residence-5-end>,1938-10
<occupation-11-end>,1968-11-30
<residence-4-begin>,1936-03-11
<occupation-11>,lid Raad van State
<death-time>,1968-11-30
<birth-time>,1900-12-04
<occupation-5-begin>,1939-01-01
<occupation-4>,docent SROA (School voor Reserve Officieren Artillerie)
<occupation-9-begin>,1948
<education-3-end>,1924
<residence-8-begin>,1940-12-21
<residence-9-end>,1967-10
<occupation-1-begin>,1924-08-14
<occupation-4-begin>,1936
<residence-1>,Breda
<occupation-8>,docent en commandant SROA te Breda
<occupation-2>,officier bij de kustartillerie te Den Helder
<occupation-5-end>,1940-05
<occupation-8-end>,1949-07
<education-3-begin>,1920
<residence-9>,Voorburg, Laan van Nieuw Oosteinde 148
<residence-3-begin>,1930-11
<residence-4-end>,1937-08
<occupation-6>,particulier secretaris van de burgemeester van Breda
<residence-6-begin>,1938-10-28
<residence-7-end>,1940-12
<residence-7-begin>,1939-08-01
<occupation-10-end>,1961-12-16
<residence-3-end>,1936-03
<occupation-6-begin>,1940
<education-1>,gymnasium-a
<education-3>,officiersopleiding KMA (Koninklijke Militaire Academie) te Breda
<residence-10>,Breda, Jan Nieuwenhuizenstraat 48
<occupation-4-end>,1939-01-01
<occupation-9-end>,1949-07
